siren,user_id,file_id,titles,date
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,3a941c2d-6ecd-463c-8a7d-a3e33a910fa9,Décision(s) de l'associé unique : Démission(s) de gérant(s); Jugement : Nomination d'administrateur provisoire; Décision(s) de l'associé unique : Nomination d'administrateur provisoire,2023-11-16
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,f7c3ec12-616b-48fc-9010-2771ab0d5e87,Procès-verbal : Poursuite d'activité malgré un actif net devenu inférieur à la moitié du capital social,2023-10-27
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,a70e9871-65c9-4e6a-a3ec-d96911ad2c6a,Décision(s) de l'associé unique : Poursuite d'activité malgré un actif net devenu inférieur à la moitié du capital social,2022-05-09
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,31a241f4-a9a7-4150-876f-dab20b434a73,Document relatif au bénéficiaire effectif,2020-09-02
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,272d1c31-8cb0-4ad8-988e-de12f2be8411,Statuts mis à jour; Décision(s) de l'associé unique : Modification(s) statutaire(s),2020-06-18
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,7d975d45-8b21-4564-8fe6-7237db1c13e8,Statuts mis à jour; Procès-verbal d'assemblée générale extraordinaire : Modification(s) statutaire(s); Procès-verbal d'assemblée générale extraordinaire : Changement de la dénomination sociale,2020-06-18
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,028434c6-4435-4d2d-94c9-b178aa424817,Procès-verbal d'assemblée générale extraordinaire : Modification(s) statutaire(s); Statuts mis à jour,2018-10-05
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,4caff442-35a3-4a54-a31f-783d49eabbfa,Décision(s) des associés : Modification(s) statutaire(s); Statuts mis à jour,2016-09-07
821198769,52fe734f-311c-49d5-b4e8-0e996f74a911,cb0adf50-77a2-4f51-ab20-9b3f93c0a576,Statuts constitutifs,2016-06-29
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,315534f2-29b7-4ca5-965c-cf145c3de061,Extrait de procès-verbal : Reconstitution de l'actif net,2023-11-08
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,dafddb7e-e440-471c-a429-c5695a86382c,Décision(s) de l'actionnaire unique : Changement de président,2022-12-02
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,d2416e58-c54f-4f63-8d4e-cdf8f0bbc70f,Décision(s) de l'associé unique : Poursuite d'activité malgré un actif net devenu inférieur à la moitié du capital social,2021-06-28
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,053c6f02-13ca-4465-b1fe-d51a6084049d,Décision(s) de l'associé unique : Nomination de commissaire aux comptes titulaire; Décision(s) de l'associé unique : Fin de mission de commissaire aux comptes titulaire,2021-03-30
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,2f66fa6b-7c6f-49bc-a76f-b3d01fdc9d76,Document relatif au bénéficiaire effectif,2020-06-22
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,4ea9d7be-75f7-4558-83ea-9ddf12c24953,Document relatif au bénéficiaire effectif,2020-03-13
821224268,d533d609-e76c-426a-a3bc-2474c0da7b42,a4a2bb10-e26b-4cb6-98ab-6edacfe5e912,Décision(s) de l'actionnaire unique : Nomination de commissaire aux comptes titulaire; Décision(s) de l'actionnaire unique : Modification(s) statutaire(s); Statuts mis à jour; Décision(s) de l'actionnaire unique : Changement de forme juridique (SARL); Décision(s) de l'actionnaire unique : Nomination de président; Décision(s) de l'actionnaire unique : Changement de forme juridique,2019-02-20
